name,url,address
Tottenville High School,https://www.greatschools.org/new-york/staten-island/2802-Tottenville-High-School/,"100 Luten Avenue, Staten Island, NY, 10312
�
3.1
(14 Reviews)"
Nyack Senior High School,https://www.greatschools.org/new-york/nyack/3090-Nyack-Senior-High-School/,"360 Christian Herald Road, Nyack, NY, 10960
�
5
(3 Reviews)"
Oyster Bay High School,https://www.greatschools.org/new-york/oyster-bay/3170-Oyster-Bay-High-School/,"150 East Main Street, Oyster Bay, NY, 11771
�
4.1
(11 Reviews)"
Rocky Point High School,https://www.greatschools.org/new-york/rocky-point/3437-Rocky-Point-High-School/,"82 Rocky Point Yaphank Road, Rocky Point, NY, 11778
�
3.4
(13 Reviews)"
Floral Park Memorial High School,https://www.greatschools.org/new-york/floral-park/3606-Floral-Park-Memorial-High-School/,"210 Locust Street, Floral Park, NY, 11001
�
4.6
(5 Reviews)"
H Frank Carey High School,https://www.greatschools.org/new-york/franklin-square/3607-H-Frank-Carey-High-School/,"230 Poppy Avenue, Franklin Square, NY, 11010
�
2.1
(7 Reviews)"
New Hyde Park Memorial High School,https://www.greatschools.org/new-york/north-new-hyde-park/3608-New-Hyde-Park-Memorial-High-School/,"500 Leonard Boulevard, New Hyde Park, NY, 11040
�
4.2
(12 Reviews)"
Walt Whitman High School,https://www.greatschools.org/new-york/huntington-station/3694-Walt-Whitman-High-School/,"301 West Hills Road, Huntington Station, NY, 11746
�
4.4
(5 Reviews)"
Suffern Senior High School,https://www.greatschools.org/new-york/suffern/3771-Suffern-Senior-High-School/,"49 Viola Road, Suffern, NY, 10901
�
3.6
(7 Reviews)"
Sleepy Hollow High School,https://www.greatschools.org/new-york/sleepy-hollow/3834-Sleepy-Hollow-High-School/,"210 North Broadway, Sleepy Hollow, NY, 10591
�
4.7
(3 Reviews)"
Valley Stream North High School,https://www.greatschools.org/new-york/franklin-square/3921-Valley-Stream-North-High-School/,"750 Herman Avenue, Franklin Square, NY, 11010
�
4.6
(7 Reviews)"
Valley Stream South High School,https://www.greatschools.org/new-york/valley-stream/3922-Valley-Stream-South-High-School/,"150 Jedwood Place, Valley Stream, NY, 11581
�
3.5
(11 Reviews)"
John Jay Senior High School,https://www.greatschools.org/new-york/hopewell-junction/3956-John-Jay-Senior-High-School/,"2012 ROUTE 52, Hopewell Junction, NY, 12533
�
3.7
(15 Reviews)"
Washingtonville Senior High School,https://www.greatschools.org/new-york/washingtonville/3977-Washingtonville-Senior-High-School/,"54 West Main Street, Washingtonville, NY, 10992
�
3.5
(12 Reviews)"
West Babylon Senior High School,https://www.greatschools.org/new-york/west-babylon/4030-West-Babylon-Senior-High-School/,"500 Great East Neck Road, West Babylon, NY, 11704
�
3.6
(9 Reviews)"
Saunders Trades And Technical High School,https://www.greatschools.org/new-york/yonkers/4160-Saunders-Trades-And-Technical-High-School/,"183 Palmer Road, Yonkers, NY, 10701
�
5
(4 Reviews)"
Carle Place Middle Senior High School,https://www.greatschools.org/new-york/carle-place/468-Carle-Place-Middle-Senior-High-School/,"168 Cherry Lane, Carle Place, NY, 11514
�
3.8
(12 Reviews)"
Carmel High School,https://www.greatschools.org/new-york/carmel-hamlet/471-Carmel-High-School/,"30 FAIR ST, Carmel Hamlet, NY, 10512
�
3.2
(9 Reviews)"
Mahwah High School,https://www.greatschools.org/new-jersey/mahwah/1073-Mahwah-High-School/,"50 Ridge Road, Mahwah, NJ, 07430
�
3
(2 Reviews)"
Governor Livingston High School,https://www.greatschools.org/new-jersey/new-providence/115-Governor-Livingston-High-School/,"175 WATCHUNG BOULEVARD, Berkeley Heights, NJ, 07922
�
3.8
(6 Reviews)"
Middletown - South High School,https://www.greatschools.org/new-jersey/middletown/1161-Middletown---South-High-School/,"900 NUT SWAMP ROAD, Middletown Township, NJ, 07748
�
3.6
(9 Reviews)"
Midland Park High School,https://www.greatschools.org/new-jersey/midland-park/1177-Midland-Park-High-School/,"250 Prospect Street, Midland Park, NJ, 07432
�
3.8
(13 Reviews)"
Montville High School,https://www.greatschools.org/new-jersey/montville/1231-Montville-High-School/,"100 Horseneck Road, Montville, NJ, 07045
�
1
(1 Reviews)"
New Providence High School,https://www.greatschools.org/new-jersey/new-providence/1310-New-Providence-High-School/,"35 Pioneer Drive, New Providence, NJ, 07974
�
3.3
(11 Reviews)"
Paramus High School,https://www.greatschools.org/new-jersey/paramus/1491-Paramus-High-School/,"99 East Century Road, Paramus, NJ, 07652
�
4.7
(3 Reviews)"
Park Ridge High School,https://www.greatschools.org/new-jersey/park-ridge/1498-Park-Ridge-High-School/,"2 Park Avenue, Park Ridge, NJ, 07656
�
5
(1 Reviews)"
Passaic County Technical Institute,https://www.greatschools.org/new-jersey/wayne/1532-Passaic-Co-Tech-Institute/,"45 Reinhardt Road, Wayne, NJ, 07470
�
3.1
(8 Reviews)"
Pequannock Twp High School,https://www.greatschools.org/new-jersey/pequannock-township/1603-Pequannock-Twp-High-School/,"85 Sunset Road, Pequannock Township, NJ, 07444
�
3.6
(12 Reviews)"
Point Pleasant Bch High School,https://www.greatschools.org/new-jersey/point-pleasant-beach/1673-Point-Pleasant-Bch-High-School/,"700 Trenton Avenue, Point Pleasant Beach, NJ, 08742
�
4.3
(3 Reviews)"
Ramsey High School,https://www.greatschools.org/new-jersey/ramsey/1696-Ramsey-High-School/,"256 East Main Street, Ramsey, NJ, 07446
�
4.5
(4 Reviews)"
